UF,ANO,MES,TARIFA,CIDADE
AC,2023,1,989.97,Rio Branco
AC,2023,2,957.59,Rio Branco
AC,2023,3,997.76,Rio Branco
AC,2023,4,929.48,Rio Branco
AC,2023,8,1087.38,Rio Branco
AC,2023,9,1122.63,Rio Branco
AC,2023,10,1175.11,Rio Branco
AC,2023,11,1127.81,Rio Branco
AC,2023,12,1127.97,Rio Branco
AC,2024,1,1059.24,Rio Branco
AC,2024,2,979.72,Rio Branco
AC,2024,3,1034.56,Rio Branco
AC,2024,4,952.2,Rio Branco
AC,2024,5,999.16,Rio Branco
AC,2024,6,962.39,Rio Branco
AC,2024,7,1022.33,Rio Branco
AC,2024,8,1012.21,Rio Branco
AC,2024,9,956.18,Rio Branco
AC,2024,10,1002.32,Rio Branco
AC,2024,11,1072.91,Rio Branco
AC,2024,12,1093.9,Rio Branco
AC,2025,3,1260.58,Rio Branco
AC,2025,4,1189.36,Rio Branco
AC,2025,5,1185.04,Rio Branco
AC,2025,6,1249.94,Rio Branco
AC,2025,7,1366.99,Rio Branco
AL,2023,1,927.89,Maceió
AL,2023,2,934.19,Maceió
AL,2023,3,952.14,Maceió
AL,2023,4,879.0,Maceió
AL,2023,8,969.32,Maceió
AL,2023,9,1048.52,Maceió
AL,2023,10,1048.95,Maceió
AL,2023,11,1004.6,Maceió
AL,2023,12,944.72,Maceió
AL,2024,1,904.47,Maceió
AL,2024,2,897.5,Maceió
AL,2024,3,935.0,Maceió
AL,2024,4,851.11,Maceió
AL,2024,5,796.82,Maceió
AL,2024,6,845.94,Maceió
AL,2024,7,885.29,Maceió
AL,2024,8,883.42,Maceió
AL,2024,9,927.72,Maceió
AL,2024,10,944.87,Maceió
AL,2024,11,971.32,Maceió
AL,2024,12,938.89,Maceió
AL,2025,3,1063.47,Maceió
AL,2025,4,946.92,Maceió
AL,2025,5,857.68,Maceió
AL,2025,6,921.35,Maceió
AL,2025,7,1113.49,Maceió
AM,2023,1,926.56,Manaus
AM,2023,2,936.81,Manaus
AM,2023,3,910.05,Manaus
AM,2023,4,884.38,Manaus
AM,2023,8,1013.23,Manaus
AM,2023,9,1046.57,Manaus
AM,2023,10,1041.96,Manaus
AM,2023,11,977.18,Manaus
AM,2023,12,953.3,Manaus
AM,2024,1,925.32,Manaus
AM,2024,2,810.23,Manaus
AM,2024,3,826.01,Manaus
AM,2024,4,751.03,Manaus
AM,2024,5,727.51,Manaus
AM,2024,6,778.47,Manaus
AM,2024,7,822.59,Manaus
AM,2024,8,807.79,Manaus
AM,2024,9,799.05,Manaus
AM,2024,10,791.71,Manaus
AM,2024,11,839.74,Manaus
AM,2024,12,885.74,Manaus
AM,2025,3,954.29,Manaus
AM,2025,4,847.07,Manaus
AM,2025,5,864.49,Manaus
AM,2025,6,1053.11,Manaus
AM,2025,7,1169.63,Manaus
AP,2023,1,701.36,Macapá
AP,2023,2,778.6,Macapá
AP,2023,3,805.48,Macapá
AP,2023,4,777.25,Macapá
AP,2023,8,840.35,Macapá
AP,2023,9,868.92,Macapá
AP,2023,10,927.78,Macapá
AP,2023,11,988.59,Macapá
AP,2023,12,915.88,Macapá
AP,2024,1,877.77,Macapá
AP,2024,2,798.88,Macapá
AP,2024,3,720.15,Macapá
AP,2024,4,718.88,Macapá
AP,2024,5,682.35,Macapá
AP,2024,6,715.26,Macapá
AP,2024,7,821.27,Macapá
AP,2024,8,807.03,Macapá
AP,2024,9,830.92,Macapá
AP,2024,10,848.22,Macapá
AP,2024,11,956.73,Macapá
AP,2024,12,963.95,Macapá
AP,2025,3,890.62,Macapá
AP,2025,4,807.38,Macapá
AP,2025,5,812.21,Macapá
AP,2025,6,990.41,Macapá
AP,2025,7,1248.07,Macapá
BA,2023,1,800.31,Salvador
BA,2023,2,771.03,Salvador
BA,2023,3,819.79,Salvador
BA,2023,4,774.54,Salvador
BA,2023,8,809.62,Salvador
BA,2023,9,842.91,Salvador
BA,2023,10,825.0,Salvador
BA,2023,11,811.82,Salvador
BA,2023,12,801.37,Salvador
BA,2024,1,773.47,Salvador
BA,2024,2,684.39,Salvador
BA,2024,3,736.43,Salvador
BA,2024,4,679.24,Salvador
BA,2024,5,635.88,Salvador
BA,2024,6,711.77,Salvador
BA,2024,7,739.4,Salvador
BA,2024,8,724.93,Salvador
BA,2024,9,800.07,Salvador
BA,2024,10,832.78,Salvador
BA,2024,11,836.98,Salvador
BA,2024,12,833.46,Salvador
BA,2025,3,825.43,Salvador
BA,2025,4,802.73,Salvador
BA,2025,5,731.83,Salvador
BA,2025,6,851.19,Salvador
BA,2025,7,894.93,Salvador
CE,2023,1,808.81,Fortaleza
CE,2023,2,818.07,Fortaleza
CE,2023,3,847.82,Fortaleza
CE,2023,4,805.09,Fortaleza
CE,2023,8,882.7,Fortaleza
CE,2023,9,907.19,Fortaleza
CE,2023,10,929.9,Fortaleza
CE,2023,11,931.87,Fortaleza
CE,2023,12,871.54,Fortaleza
CE,2024,1,825.85,Fortaleza
CE,2024,2,775.94,Fortaleza
CE,2024,3,864.98,Fortaleza
CE,2024,4,809.22,Fortaleza
CE,2024,5,796.07,Fortaleza
CE,2024,6,829.2,Fortaleza
CE,2024,7,853.12,Fortaleza
CE,2024,8,839.7,Fortaleza
CE,2024,9,889.38,Fortaleza
CE,2024,10,943.16,Fortaleza
CE,2024,11,959.29,Fortaleza
CE,2024,12,898.05,Fortaleza
CE,2025,3,912.15,Fortaleza
CE,2025,4,851.06,Fortaleza
CE,2025,5,815.86,Fortaleza
CE,2025,6,981.3,Fortaleza
CE,2025,7,1104.56,Fortaleza
DF,2023,1,693.34,Brasília
DF,2023,2,688.34,Brasília
